Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1100015;Alta Floresta D'Oeste (RO);-;180;-;-;-;-;-;-;-;-;-;-;1050;1500;1350;1350;1350;1350;2500;4915
MU;1100023;Ariquemes (RO);-;-;-;140;-;-;1200;3300;3645;4926;4926;5055;7402;6857;10959;16800;24592;25497;22731;31732
MU;1100031;Cabixi (RO);4500;4500;16110;15750;16500;21000;31500;29484;34005;37000;43500;52091;73254;64971;70320;86234;84204;86772;103899;108000
MU;1100049;Cacoal (RO);-;-;-;-;-;-;-;-;-;-;-;-;750;1668;1710;1710;3000;3000;6000;9378
MU;1100056;Cerejeiras (RO);13548;21552;24000;48600;46656;57240;61500;61500;66000;75000;78000;73600;92340;82056;98000;112620;129956;140760;131825;130000
MU;1100064;Colorado do Oeste (RO);3300;3780;4500;12420;12420;12000;9000;10800;9360;9360;9900;11200;9900;9000;10888;9750;11700;10888;10980;12383
MU;1100072;Corumbiara (RO);1800;18000;36000;34720;33480;37500;72000;72000;79500;78000;110550;124018;129825;121680;125500;121680;147600;142800;171944;157800
MU;1100080;Costa Marques (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;600;1654
MU;1100098;Espigão D'Oeste (RO);-;-;-;-;-;-;-;-;-;480;480;960;2700;3240;3240;2700;2700;2700;3390;4320
MU;1100106;Guajará-Mirim (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1100114;Jaru (RO);-;-;-;-;-;-;-;-;-;-;-;-;1200;-;-;-;-;-;124;608
MU;1100122;Ji-Paraná (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1290
MU;1100130;Machadinho D'Oeste (RO);-;-;-;-;-;-;-;313;313;2592;2592;4170;4380;13974;17788;28320;32304;50433;48953;58162
MU;1100148;Nova Brasilândia D'Oeste (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;900;900;3000;6567
MU;1100155;Ouro Preto do Oeste (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6600
MU;1100189;Pimenta Bueno (RO);-;-;-;-;-;-;-;-;-;-;315;315;471;1531;3680;1840;1840;1840;6500;12468
MU;1100205;Porto Velho (RO);-;-;765;896;810;552;-;596;596;596;596;586;20880;24320;30880;30880;34080;57187;41920;112000
MU;1100254;Presidente Médici (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100
MU;1100262;Rio Crespo (RO);-;-;-;-;-;54;54;68;68;1908;2784;11520;20015;25080;39533;50076;66120;104461;87153;119491
MU;1100288;Rolim de Moura (RO);-;-;-;-;-;-;-;-;-;542;3781;5000;5000;7447;14894;7447;7447;7447;12800;15454
MU;1100296;Santa Luzia D'Oeste (RO);-;-;-;-;-;-;-;-;-;-;720;960;960;960;1920;960;960;960;13676;21226
