Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1100015;Alta Floresta D'Oeste (RO);-;1800;-;-;-;-;-;-;-;-;-;-;3000;3000;3000;3000;3000;3000;2332;4400
MU;1100023;Ariquemes (RO);-;-;-;2800;-;-;3000;3000;2700;3000;3000;3000;3300;3300;3300;3000;3116;3276;3257;3453
MU;1100031;Cabixi (RO);3000;3000;3000;2100;3000;3000;3000;2700;3000;3162;3000;3300;3480;3000;3300;3480;3419;3478;3750;3600
MU;1100049;Cacoal (RO);-;-;-;-;-;-;-;-;-;-;-;-;3000;3000;3000;3000;3000;3000;2778;3600
MU;1100056;Cerejeiras (RO);3000;3000;3000;2700;2880;3180;3000;3000;3300;3289;3120;3200;3420;3120;3500;3455;3693;3894;3619;3692
MU;1100064;Colorado do Oeste (RO);3000;2700;3000;2700;2700;3000;3000;3600;3120;3120;3300;3200;3300;3000;3350;3000;3600;3350;3600;3900
MU;1100072;Corumbiara (RO);3000;3000;3000;2800;3000;3000;3600;3600;3180;3120;3350;3349;3291;3120;3218;3120;3644;3526;3355;3849
MU;1100080;Costa Marques (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3000;3453
MU;1100098;Espigão D'Oeste (RO);-;-;-;-;-;-;-;-;-;2400;2400;3000;3000;3000;3000;3000;3000;3000;3000;3600
MU;1100106;Guajará-Mirim (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1100114;Jaru (RO);-;-;-;-;-;-;-;-;-;-;-;-;3000;-;-;-;-;-;4429;4053
MU;1100122;Ji-Paraná (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3299
MU;1100130;Machadinho D'Oeste (RO);-;-;-;-;-;-;-;2504;2504;3600;3600;3000;3120;3343;3600;3412;3474;3493;3445;3411
MU;1100148;Nova Brasilândia D'Oeste (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3000;3000;3012;3385
MU;1100155;Ouro Preto do Oeste (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3300
MU;1100189;Pimenta Bueno (RO);-;-;-;-;-;-;-;-;-;-;3000;3000;2519;2700;3239;3239;3239;3239;3083;3187
MU;1100205;Porto Velho (RO);-;-;3000;2800;2700;2760;-;2483;2483;2483;2483;2483;2900;3200;3200;3200;3200;3200;3200;3601
MU;1100254;Presidente Médici (RO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3125
MU;1100262;Rio Crespo (RO);-;-;-;-;-;2700;2700;2720;2720;3180;3480;3000;3300;3300;3144;3101;3026;3080;3300;3669
MU;1100288;Rolim de Moura (RO);-;-;-;-;-;-;-;-;-;2521;2521;2500;2500;2940;2940;2940;2940;2940;2560;3091
