Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Ro-Alta Floresta D Oeste;1;1;1;1;2;2;2;2;3;2;1
Ro-Ariquemes;11;11;11;10;8;7;8;8;9;7;7
Ro-Cabixi;0;0;0;0;0;0;0;0;0;0;0
Ro-Cacoal;12;10;10;8;8;8;6;6;7;7;8
Ro-Cerejeiras;1;1;1;2;0;0;0;0;1;1;0
Ro-Colorado do Oeste;1;1;0;2;1;2;2;2;2;2;2
Ro-Corumbiara;0;0;0;0;0;0;0;0;0;0;0
Ro-Costa Marques;1;0;0;0;0;0;0;0;0;0;0
Ro-Espigao D Oeste;2;2;2;2;2;2;2;2;3;2;2
Ro-Guajara-Mirim;2;2;2;0;0;0;0;0;0;1;0
Ro-Jaru;2;2;3;2;2;3;2;2;2;3;3
Ro-Ji-Parana;9;8;8;8;7;8;9;10;8;9;7
Ro-Machadinho D Oeste;1;1;1;1;1;0;0;0;0;0;0
Ro-Nova Brasilandia D Oeste;2;1;0;0;0;0;0;0;0;0;0
Ro-Ouro Preto do Oeste;1;1;1;0;0;0;0;0;0;0;0
Ro-Pimenta Bueno;6;6;4;3;3;5;4;3;5;3;3
Ro-Porto Velho;10;10;9;11;10;10;9;7;8;5;3
Ro-Presidente Medici;0;0;0;0;0;0;0;0;0;0;1
Ro-Rio Crespo;0;0;0;1;1;1;1;1;0;0;0
Ro-Rolim de Moura;5;3;4;6;6;7;6;3;3;3;3
Ro-Santa Luzia D Oeste;0;0;0;0;0;0;0;0;0;0;0
Ro-Vilhena;3;3;2;3;2;4;6;4;4;4;5
Ro-Sao Miguel do Guapore;1;1;1;1;2;2;2;2;1;1;0
Ro-Nova Mamore;1;1;1;1;1;1;0;0;0;0;0
Ro-Alvorada D Oeste;1;1;1;1;1;1;0;0;0;0;0
Ro-Alto Alegre dos Parecis;0;0;0;0;0;0;0;0;0;0;0
Ro-Alto Paraiso;1;1;1;1;1;1;1;0;0;0;0
Ro-Buritis;2;2;2;2;1;1;1;3;1;1;1
Ro-Novo Horizonte do Oeste;0;0;0;0;0;0;0;0;0;0;0
Ro-Cacaulandia;0;0;0;0;0;0;0;0;0;0;0
Ro-Campo Novo de Rondonia;0;0;0;1;1;1;1;1;0;0;0
Ro-Candeias do Jamari;3;2;2;2;1;1;1;1;1;2;1
Ro-Castanheiras;0;0;0;0;0;0;0;0;0;0;0
Ro-Chupinguaia;1;1;1;1;1;2;1;1;1;3;1
Ro-Cujubim;1;0;0;0;0;0;0;0;0;0;0
Ro-Governador Jorge Teixeira;0;0;0;0;0;0;0;0;0;0;0
Ro-Itapua do Oeste;0;0;0;0;0;0;1;0;0;0;0
Ro-Ministro Andreazza;1;0;0;1;1;0;0;0;0;0;0
Ro-Mirante da Serra;1;1;0;1;1;0;0;0;0;0;0
Ro-Monte Negro;0;1;1;1;1;0;0;0;0;0;0
Ro-Nova Uniao;0;0;0;0;0;0;0;0;0;0;0
Ro-Parecis;0;0;0;0;0;0;0;0;0;0;0
