Município;2021;2020;2019;2018;2017
Ro-Alta Floresta D Oeste;2;1;1;2;2
Ro-Ariquemes;6;6;7;6;7
Ro-Cabixi;0;0;0;0;0
Ro-Cacoal;12;9;9;12;11
Ro-Cerejeiras;2;2;2;1;1
Ro-Colorado do Oeste;1;1;1;1;1
Ro-Corumbiara;1;0;0;0;0
Ro-Costa Marques;0;0;0;1;1
Ro-Espigao D Oeste;1;1;1;2;2
Ro-Guajara-Mirim;1;2;2;1;1
Ro-Jaru;2;2;2;2;2
Ro-Ji-Parana;9;8;10;11;9
Ro-Machadinho D Oeste;0;1;0;1;1
Ro-Nova Brasilandia D Oeste;1;1;1;1;1
Ro-Ouro Preto do Oeste;1;1;0;0;1
Ro-Pimenta Bueno;5;4;3;4;6
Ro-Porto Velho;8;7;7;9;11
Ro-Presidente Medici;0;0;0;0;0
Ro-Rio Crespo;0;0;0;0;0
Ro-Rolim de Moura;5;4;4;4;4
Ro-Santa Luzia D Oeste;0;0;0;0;0
Ro-Vilhena;4;3;2;2;2
Ro-Sao Miguel do Guapore;2;1;1;1;1
Ro-Nova Mamore;0;1;1;1;1
Ro-Alvorada D Oeste;0;0;0;1;1
Ro-Alto Alegre dos Parecis;0;0;0;0;0
Ro-Alto Paraiso;0;0;0;0;1
Ro-Buritis;1;1;2;1;2
Ro-Novo Horizonte do Oeste;0;0;0;0;0
Ro-Cacaulandia;0;0;0;0;0
Ro-Campo Novo de Rondonia;0;0;0;0;0
Ro-Candeias do Jamari;2;2;2;2;2
Ro-Castanheiras;0;0;0;0;0
Ro-Chupinguaia;1;1;1;1;1
Ro-Cujubim;1;1;1;1;1
Ro-Governador Jorge Teixeira;0;0;0;0;0
Ro-Itapua do Oeste;0;0;0;0;0
Ro-Ministro Andreazza;1;1;1;1;1
Ro-Mirante da Serra;0;0;0;0;1
Ro-Monte Negro;2;2;2;1;3
Ro-Nova Uniao;0;0;0;0;0
Ro-Parecis;0;0;0;0;0
Ro-Pimenteiras do Oeste;0;0;0;0;0
Ro-Primavera de Rondonia;0;0;1;1;1
Ro-Sao Felipe D Oeste;0;0;0;0;0
Ro-Sao Francisco do Guapore;1;1;1;1;3
Ro-Seringueiras;0;0;0;0;0
Ro-Teixeiropolis;0;0;0;0;0
Ro-Theobroma;0;1;1;0;0
Ro-Urupa;0;0;0;1;1
Ro-Vale do Anari;0;0;0;0;0
Ro-Vale do Paraiso;0;0;0;0;0
Ro-Ignorado;0;0;0;0;0
Ac-Acrelandia;1;1;1;1;1
Ac-Assis Brasil;1;1;1;1;1
Ac-Brasileia;5;4;4;5;4
Ac-Bujari;0;0;0;0;0
Ac-Capixaba;1;1;1;1;1
Ac-Cruzeiro do Sul;3;3;3;2;2
Ac-Epitaciolandia;1;1;1;1;1
Ac-Feijo;1;1;1;1;1
Ac-Jordao;0;0;0;0;0
Ac-Mancio Lima;0;0;0;0;0
Ac-Manoel Urbano;0;0;0;0;0
Ac-Marechal Thaumaturgo;0;0;0;0;0
Ac-Placido de Castro;3;3;3;4;3
Ac-Porto Walter;0;0;0;0;0
Ac-Rio Branco;9;11;8;6;8
Ac-Rodrigues Alves;0;0;0;0;0
Ac-Santa Rosa do Purus;0;0;0;0;0
Ac-Senador Guiomard;6;6;5;4;2
Ac-Sena Madureira;2;2;4;3;2
Ac-Tarauaca;3;2;1;2;1
Ac-Xapuri;1;1;1;1;1
Ac-Porto Acre;0;0;0;0;1
Ac-Ignorado;0;0;0;0;0
Am-Alvaraes;0;0;0;0;0
Am-Amatura;0;0;0;0;0
Am-Anama;0;0;0;0;0
Am-Anori;0;0;0;0;0
Am-Apui;0;0;0;0;0
Am-Atalaia do Norte;0;0;0;0;0
Am-Autazes;0;0;0;0;0
Am-Barcelos;0;0;0;0;0
Am-Barreirinha;0;0;0;0;0
Am-Benjamin Constant;0;0;0;0;0
Am-Beruri;0;0;0;0;0
Am-Boa Vista do Ramos;0;0;0;0;0
Am-Boca do Acre;2;2;2;2;1
Am-Borba;0;0;0;0;0
Am-Caapiranga;0;0;0;0;0
Am-Canutama;0;0;0;0;0
Am-Carauari;0;0;0;0;0
Am-Careiro;0;0;0;0;0
Am-Careiro da Varzea;0;0;0;0;0
Am-Coari;0;0;0;0;0
Am-Codajas;0;0;0;0;0
Am-Eirunepe;0;0;0;0;0
Am-Envira;0;0;0;0;0
Am-Fonte Boa;0;0;0;0;0
Am-Guajara;1;1;1;1;1
Am-Humaita;1;1;0;0;0
Am-Ipixuna;0;0;1;0;0
Am-Iranduba;3;2;2;1;1
Am-Itacoatiara;3;2;2;2;2
Am-Itamarati;0;0;0;0;0
Am-Itapiranga;0;0;0;0;0
Am-Japura;0;0;0;0;0
Am-Jurua;1;1;0;0;0
Am-Jutai;0;0;0;0;0
Am-Labrea;1;1;1;1;1
Am-Manacapuru;1;1;1;1;1
Am-Manaquiri;0;0;0;0;0
Am-Manaus;6;6;6;6;6
Am-Manicore;1;1;1;0;0
Am-Maraa;0;0;0;0;0
Am-Maues;0;0;0;0;0
Am-Nhamunda;0;0;0;0;0
Am-Nova Olinda do Norte;0;0;0;0;0
Am-Novo Airao;0;0;0;0;0
Am-Novo Aripuana;0;0;0;0;0
Am-Parintins;2;3;3;3;2
Am-Pauini;0;0;0;0;0
Am-Presidente Figueiredo;0;0;0;0;0
Am-Rio Preto da Eva;0;1;0;0;0
Am-Santa Isabel do Rio Negro;0;0;0;0;0
Am-Santo Antonio do Ica;0;0;0;0;0
Am-Sao Gabriel da Cachoeira;0;0;0;0;0
Am-Sao Paulo de Olivenca;0;0;0;0;0
Am-Sao Sebastiao do Uatuma;0;0;0;0;0
Am-Silves;0;0;0;0;0
Am-Tabatinga;0;0;0;0;0
Am-Tapaua;0;0;0;0;0
Am-Tefe;1;2;2;2;2
Am-Tonantins;0;0;0;0;0
Am-Uarini;0;0;0;0;0
Am-Urucara;0;0;0;0;0
Am-Urucurituba;0;0;0;0;0
Am-Ignorado;0;0;0;0;0
Rr-Amajari;0;0;0;0;0
Rr-Alto Alegre;0;0;0;0;0
Rr-Boa Vista;8;7;5;6;5
Rr-Bonfim;0;0;0;0;0
Rr-Canta;1;1;1;1;1
Rr-Caracarai;0;0;0;0;1
Rr-Caroebe;0;0;0;0;0
Rr-Iracema;0;0;0;0;0
Rr-Mucajai;0;0;0;0;0
Rr-Normandia;0;0;0;0;0
Rr-Pacaraima;0;0;0;0;0
Rr-Rorainopolis;1;1;1;1;0
Rr-Sao Joao da Baliza;0;0;0;0;0
Rr-Sao Luiz;0;0;0;0;0
Rr-Uiramuta;0;0;0;0;0
Rr-Ignorado;0;0;0;0;0
Pa-Abaetetuba;0;0;0;0;0
Pa-Abel Figueiredo;0;0;0;0;0
Pa-Acara;0;0;0;0;0
Pa-Afua;0;0;0;0;0
Pa-Agua Azul do Norte;1;1;1;1;1
Pa-Alenquer;0;0;0;0;0
Pa-Almeirim;0;0;0;0;0
Pa-Altamira;1;1;1;2;3
Pa-Anajas;0;0;0;0;0
Pa-Ananindeua;5;4;4;3;3
Pa-Anapu;0;0;1;0;0
Pa-Augusto Correa;0;0;0;0;0
Pa-Aurora do Para;0;0;0;0;0
Pa-Aveiro;0;0;0;0;0
Pa-Bagre;0;0;0;0;0
Pa-Baiao;0;0;0;0;0
Pa-Bannach;0;0;0;0;0
Pa-Barcarena;1;1;1;1;0
Pa-Belem;4;5;4;3;4
Pa-Belterra;0;0;0;0;0
Pa-Benevides;2;2;2;2;2
Pa-Bom Jesus do Tocantins;1;0;0;0;0
Pa-Bonito;0;0;0;0;0
Pa-Braganca;1;1;2;2;2
Pa-Brasil Novo;2;2;1;1;0
Pa-Brejo Grande do Araguaia;0;0;0;0;0
Pa-Breu Branco;1;0;1;1;1
Pa-Breves;1;1;1;1;2
Pa-Bujaru;0;0;0;0;0
Pa-Cachoeira do Piria;0;0;0;0;0
Pa-Cachoeira do Arari;0;0;0;0;0
Pa-Cameta;1;1;1;1;1
Pa-Canaa dos Carajas;1;1;1;1;3
Pa-Capanema;0;0;0;0;0
Pa-Capitao Poco;0;1;1;1;1
Pa-Castanhal;10;10;12;12;10
Pa-Chaves;0;0;0;1;1
Pa-Colares;0;0;0;0;0
Pa-Conceicao do Araguaia;2;2;2;1;1
Pa-Concordia do Para;1;0;1;0;0
Pa-Cumaru do Norte;0;0;0;0;0
Pa-Curionopolis;0;0;0;0;0
Pa-Curralinho;0;0;0;0;0
Pa-Curua;0;0;0;0;0
Pa-Curuca;0;0;1;0;0
Pa-Dom Eliseu;1;2;0;0;0
Pa-Eldorado do Carajas;1;1;1;1;1
Pa-Faro;0;0;0;0;0
Pa-Floresta do Araguaia;1;1;0;0;0
Pa-Garrafao do Norte;0;0;0;0;0
Pa-Goianesia do Para;0;0;1;1;0
Pa-Gurupa;0;0;0;0;0
Pa-Igarape-Acu;0;0;0;0;0
Pa-Igarape-Miri;0;0;0;0;0
Pa-Inhangapi;0;0;0;0;0
Pa-Ipixuna do Para;0;0;0;0;0
Pa-Irituia;0;0;0;0;0
Pa-Itaituba;3;2;3;3;3
Pa-Itupiranga;1;1;1;1;1
Pa-Jacareacanga;0;0;0;0;0
Pa-Jacunda;1;0;0;0;2
Pa-Juruti;0;1;1;1;0
Pa-Limoeiro do Ajuru;0;0;0;0;0
Pa-Mae do Rio;1;1;1;1;1
Pa-Magalhaes Barata;0;0;0;0;0
Pa-Maraba;7;8;8;9;6
Pa-Maracana;0;0;0;0;0
Pa-Marapanim;0;0;0;0;0
Pa-Marituba;1;1;1;1;1
Pa-Medicilandia;1;0;0;0;0
Pa-Melgaco;0;0;0;0;0
Pa-Mocajuba;0;0;0;0;0
Pa-Moju;0;0;0;0;0
Pa-Mojui dos Campos;0;0;0;0;0
Pa-Monte Alegre;0;1;1;1;1
Pa-Muana;0;0;0;0;0
Pa-Nova Esperanca do Piria;0;0;0;0;0
Pa-Nova Ipixuna;0;0;0;0;1
Pa-Nova Timboteua;0;0;0;0;0
Pa-Novo Progresso;4;5;4;5;3
Pa-Novo Repartimento;0;1;1;1;0
Pa-Obidos;0;0;0;0;0
Pa-Oeiras do Para;0;0;0;0;0
Pa-Oriximina;0;0;0;0;0
Pa-Ourem;0;0;0;0;0
Pa-Ourilandia do Norte;0;0;0;0;0
Pa-Pacaja;0;0;0;0;0
Pa-Palestina do Para;0;0;0;0;0
Pa-Paragominas;2;2;3;3;4
Pa-Parauapebas;2;3;3;2;1
Pa-Pau D Arco;0;0;0;0;0
Pa-Peixe-Boi;0;0;0;0;0
Pa-Picarra;0;0;0;0;0
Pa-Placas;0;0;0;0;0
Pa-Ponta de Pedras;0;0;0;0;0
Pa-Portel;1;1;1;1;0
Pa-Porto de Moz;0;0;0;0;0
Pa-Prainha;0;0;0;0;0
Pa-Primavera;0;0;0;0;0
Pa-Quatipuru;0;0;0;0;0
Pa-Redencao;5;5;5;5;6
Pa-Rio Maria;2;2;2;2;2
Pa-Rondon do Para;3;2;2;2;2
Pa-Ruropolis;0;0;0;1;2
Pa-Salinopolis;0;0;0;0;0
Pa-Salvaterra;0;0;0;0;0
Pa-Santa Barbara do Para;0;0;0;0;0
Pa-Santa Cruz do Arari;0;0;0;0;0
Pa-Santa Izabel do Para;3;2;2;2;2
Pa-Santa Luzia do Para;0;0;0;0;0
Pa-Santa Maria das Barreiras;0;0;0;1;1
Pa-Santa Maria do Para;0;0;0;0;0
Pa-Santana do Araguaia;1;1;1;1;1
Pa-Santarem;7;6;5;4;5
Pa-Santarem Novo;0;0;0;0;0
Pa-Santo Antonio do Taua;1;1;1;1;0
Pa-Sao Caetano de Odivelas;0;0;0;0;0
Pa-Sao Domingos do Araguaia;1;1;0;0;0
Pa-Sao Domingos do Capim;0;0;0;0;0
Pa-Sao Felix do Xingu;2;2;2;3;2
Pa-Sao Francisco do Para;0;0;0;0;0
Pa-Sao Geraldo do Araguaia;2;2;2;1;1
Pa-Sao Joao da Ponta;0;0;0;0;0
Pa-Sao Joao de Pirabas;0;0;0;0;0
Pa-Sao Joao do Araguaia;0;0;0;0;0
Pa-Sao Miguel do Guama;0;0;0;0;0
Pa-Sao Sebastiao da Boa Vista;0;0;0;0;0
Pa-Sapucaia;0;0;0;0;0
Pa-Senador Jose Porfirio;0;0;0;0;0
Pa-Soure;0;0;0;0;0
Pa-Tailandia;2;2;2;2;2
Pa-Terra Alta;0;0;0;0;0
Pa-Terra Santa;0;0;0;0;0
Pa-Tome-Acu;1;1;1;1;1
Pa-Tracuateua;0;0;0;0;0
Pa-Trairao;0;0;0;0;0
Pa-Tucuma;2;2;3;3;3
Pa-Tucurui;1;1;1;1;1
Pa-Ulianopolis;0;0;0;0;0
Pa-Uruara;1;1;1;1;1
Pa-Vigia;1;1;1;1;1
Pa-Viseu;0;0;0;0;0
Pa-Vitoria do Xingu;0;0;0;0;0
Pa-Xinguara;6;8;8;8;7
Pa-Ignorado;0;0;0;0;0
Ap-Serra do Navio;0;0;0;0;0
Ap-Amapa;0;0;0;0;0
Ap-Pedra Branca do Amapari;0;0;0;0;0
Ap-Calcoene;0;0;0;0;0
Ap-Cutias;0;0;0;0;0
Ap-Ferreira Gomes;0;0;0;0;0
Ap-Itaubal;0;0;0;0;0
Ap-Laranjal do Jari;1;0;0;0;0
Ap-Macapa;1;2;2;2;2
Ap-Mazagao;0;0;0;0;0
Ap-Oiapoque;1;1;0;0;0
Ap-Porto Grande;2;0;0;0;1
Ap-Pracuuba;0;0;0;0;0
Ap-Santana;1;1;1;1;2
Ap-Tartarugalzinho;0;0;0;0;0
Ap-Vitoria do Jari;0;0;0;0;0
Ap-Ignorado;0;0;0;0;0
To-Abreulandia;0;0;0;0;0
To-Aguiarnopolis;0;0;0;1;1
To-Alianca do Tocantins;0;0;0;0;0
To-Almas;0;0;0;0;0
To-Alvorada;1;2;2;2;1
To-Ananas;0;0;0;0;0
To-Angico;0;0;0;0;0
To-Aparecida do Rio Negro;1;1;1;1;0
To-Aragominas;0;0;0;0;0
To-Araguacema;0;0;0;0;0
To-Araguacu;0;0;0;0;0
To-Araguaina;10;10;9;8;10
To-Araguana;0;0;0;0;0
To-Araguatins;1;1;1;1;1
To-Arapoema;0;0;0;0;0
To-Arraias;0;0;0;0;0
To-Augustinopolis;1;1;0;0;1
To-Aurora do Tocantins;0;0;0;0;0
To-Axixa do Tocantins;0;0;0;0;0
To-Babaculandia;0;0;0;0;0
To-Bandeirantes do Tocantins;0;0;0;0;0
