Município;2005;2004;2003
Ro-Alta Floresta D Oeste;95;83;63
Ro-Ariquemes;178;155;138
Ro-Cabixi;23;20;19
Ro-Cacoal;160;140;140
Ro-Cerejeiras;47;43;37
Ro-Colorado do Oeste;46;44;38
Ro-Corumbiara;22;23;19
Ro-Costa Marques;8;8;4
Ro-Espigao D Oeste;102;84;79
Ro-Guajara-Mirim;16;18;6
Ro-Jaru;75;72;56
Ro-Ji-Parana;232;233;206
Ro-Machadinho D Oeste;23;17;13
Ro-Nova Brasilandia D Oeste;12;13;14
Ro-Ouro Preto do Oeste;78;77;74
Ro-Pimenta Bueno;224;203;152
Ro-Porto Velho;139;124;77
Ro-Presidente Medici;66;65;59
Ro-Rio Crespo;18;21;13
Ro-Rolim de Moura;83;90;74
Ro-Santa Luzia D Oeste;32;25;21
Ro-Vilhena;131;122;103
Ro-Sao Miguel do Guapore;51;44;16
Ro-Nova Mamore;23;19;11
Ro-Alvorada D Oeste;38;36;31
Ro-Alto Alegre dos Parecis;15;14;6
Ro-Alto Paraiso;16;14;6
Ro-Buritis;14;13;6
Ro-Novo Horizonte do Oeste;10;5;5
Ro-Cacaulandia;26;21;8
Ro-Campo Novo de Rondonia;10;8;5
Ro-Candeias do Jamari;22;17;17
Ro-Castanheiras;18;17;10
Ro-Chupinguaia;57;51;48
Ro-Cujubim;9;7;3
Ro-Governador Jorge Teixeira;9;10;7
Ro-Itapua do Oeste;3;3;4
Ro-Ministro Andreazza;12;11;5
Ro-Mirante da Serra;15;12;10
Ro-Monte Negro;27;20;14
Ro-Nova Uniao;9;7;3
Ro-Parecis;28;23;9
Ro-Pimenteiras do Oeste;17;16;11
Ro-Primavera de Rondonia;15;9;8
Ro-Sao Felipe D Oeste;4;8;6
Ro-Sao Francisco do Guapore;22;12;7
Ro-Seringueiras;9;10;6
Ro-Teixeiropolis;0;0;0
Ro-Theobroma;22;22;14
Ro-Urupa;4;4;5
Ro-Vale do Anari;5;3;3
Ro-Vale do Paraiso;17;15;9
Ro-Ignorado;0;0;0
Ac-Acrelandia;10;10;8
Ac-Assis Brasil;0;2;2
Ac-Brasileia;13;9;7
Ac-Bujari;20;13;11
Ac-Capixaba;7;5;4
Ac-Cruzeiro do Sul;12;12;12
Ac-Epitaciolandia;3;4;4
Ac-Feijo;10;9;10
Ac-Jordao;0;0;0
Ac-Mancio Lima;0;0;1
Ac-Manoel Urbano;0;0;0
Ac-Marechal Thaumaturgo;0;0;0
Ac-Placido de Castro;20;15;15
Ac-Porto Walter;0;0;0
Ac-Rio Branco;174;182;163
Ac-Rodrigues Alves;1;2;1
Ac-Santa Rosa do Purus;0;0;0
Ac-Senador Guiomard;33;29;23
Ac-Sena Madureira;33;25;20
Ac-Tarauaca;26;18;19
Ac-Xapuri;18;13;15
Ac-Porto Acre;10;5;5
Ac-Ignorado;0;0;0
Am-Alvaraes;0;0;0
Am-Amatura;0;0;0
Am-Anama;0;0;0
Am-Anori;0;0;0
Am-Apui;0;0;0
Am-Atalaia do Norte;0;0;0
Am-Autazes;1;0;0
Am-Barcelos;0;0;0
Am-Barreirinha;0;0;0
Am-Benjamin Constant;0;0;0
Am-Beruri;0;0;0
Am-Boa Vista do Ramos;0;0;0
Am-Boca do Acre;13;8;5
Am-Borba;0;0;0
Am-Caapiranga;0;0;0
Am-Canutama;2;1;0
Am-Carauari;0;0;0
Am-Careiro;0;0;0
Am-Careiro da Varzea;0;0;0
Am-Coari;0;0;0
Am-Codajas;1;0;0
Am-Eirunepe;0;0;0
Am-Envira;0;0;0
Am-Fonte Boa;0;0;0
Am-Guajara;2;2;3
Am-Humaita;3;2;2
Am-Ipixuna;0;0;0
Am-Iranduba;0;0;0
Am-Itacoatiara;10;6;4
Am-Itamarati;0;0;0
Am-Itapiranga;0;0;0
Am-Japura;0;0;0
Am-Jurua;0;0;0
Am-Jutai;0;0;0
Am-Labrea;8;2;3
Am-Manacapuru;1;1;1
Am-Manaquiri;0;0;0
Am-Manaus;3;4;1
Am-Manicore;0;0;0
Am-Maraa;0;0;0
Am-Maues;1;0;0
Am-Nhamunda;0;0;0
Am-Nova Olinda do Norte;0;0;0
Am-Novo Airao;0;0;0
Am-Novo Aripuana;0;0;0
Am-Parintins;1;1;0
Am-Pauini;0;0;0
Am-Presidente Figueiredo;0;0;0
Am-Rio Preto da Eva;1;3;1
Am-Santa Isabel do Rio Negro;0;0;0
Am-Santo Antonio do Ica;0;0;0
Am-Sao Gabriel da Cachoeira;0;0;0
Am-Sao Paulo de Olivenca;0;0;0
Am-Sao Sebastiao do Uatuma;0;0;0
Am-Silves;0;0;0
Am-Tabatinga;1;1;0
Am-Tapaua;0;0;0
Am-Tefe;0;0;0
Am-Tonantins;0;0;0
Am-Uarini;0;0;0
Am-Urucara;1;1;0
Am-Urucurituba;0;0;0
Am-Ignorado;0;0;0
Rr-Amajari;1;1;0
Rr-Alto Alegre;2;0;0
Rr-Boa Vista;6;4;6
Rr-Bonfim;1;0;0
Rr-Canta;1;2;1
Rr-Caracarai;1;1;0
Rr-Caroebe;0;1;1
Rr-Iracema;0;0;0
Rr-Mucajai;1;1;1
Rr-Normandia;0;0;0
Rr-Pacaraima;0;0;0
Rr-Rorainopolis;1;1;0
Rr-Sao Joao da Baliza;0;0;0
Rr-Sao Luiz;0;0;0
Rr-Uiramuta;0;0;0
Rr-Ignorado;0;0;0
Pa-Abaetetuba;5;4;5
Pa-Abel Figueiredo;8;8;2
Pa-Acara;1;0;1
Pa-Afua;0;0;0
Pa-Agua Azul do Norte;115;100;74
Pa-Alenquer;2;2;2
Pa-Almeirim;0;0;0
Pa-Altamira;90;54;36
Pa-Anajas;0;4;0
Pa-Ananindeua;5;5;8
Pa-Anapu;22;15;4
Pa-Augusto Correa;1;1;1
Pa-Aurora do Para;6;4;4
Pa-Aveiro;0;0;0
Pa-Bagre;0;0;0
Pa-Baiao;19;17;12
Pa-Bannach;42;36;35
Pa-Barcarena;0;0;0
Pa-Belem;85;96;95
Pa-Belterra;1;1;0
Pa-Benevides;2;2;1
Pa-Bom Jesus do Tocantins;64;49;27
Pa-Bonito;3;2;2
Pa-Braganca;2;3;2
Pa-Brasil Novo;7;7;2
Pa-Brejo Grande do Araguaia;23;20;15
Pa-Breu Branco;34;24;11
Pa-Breves;2;2;1
Pa-Bujaru;1;2;1
Pa-Cachoeira do Piria;1;1;1
Pa-Cachoeira do Arari;2;3;3
Pa-Cameta;0;0;0
Pa-Canaa dos Carajas;21;16;9
Pa-Capanema;5;6;5
Pa-Capitao Poco;5;4;4
Pa-Castanhal;29;18;17
Pa-Chaves;11;9;10
Pa-Colares;0;0;0
Pa-Conceicao do Araguaia;79;72;56
Pa-Concordia do Para;1;0;0
Pa-Cumaru do Norte;55;45;49
Pa-Curionopolis;67;66;56
Pa-Curralinho;0;0;0
Pa-Curua;0;0;0
Pa-Curuca;0;1;0
Pa-Dom Eliseu;57;46;23
Pa-Eldorado do Carajas;27;19;15
Pa-Faro;0;0;0
Pa-Floresta do Araguaia;19;19;15
Pa-Garrafao do Norte;1;1;0
Pa-Goianesia do Para;36;29;15
Pa-Gurupa;1;1;1
Pa-Igarape-Acu;3;0;1
Pa-Igarape-Miri;0;1;2
Pa-Inhangapi;3;2;2
Pa-Ipixuna do Para;19;13;10
Pa-Irituia;12;14;13
Pa-Itaituba;19;7;4
Pa-Itupiranga;63;60;35
Pa-Jacareacanga;0;0;2
Pa-Jacunda;32;31;11
Pa-Juruti;0;0;0
Pa-Limoeiro do Ajuru;0;0;0
Pa-Mae do Rio;12;7;8
Pa-Magalhaes Barata;0;0;0
Pa-Maraba;214;218;160
Pa-Maracana;1;0;0
Pa-Marapanim;0;1;1
Pa-Marituba;0;0;1
Pa-Medicilandia;3;2;2
Pa-Melgaco;0;0;0
Pa-Mocajuba;0;0;0
Pa-Moju;6;5;3
Pa-Mojui dos Campos;0;0;0
Pa-Monte Alegre;4;5;4
Pa-Muana;4;5;4
Pa-Nova Esperanca do Piria;0;0;0
Pa-Nova Ipixuna;13;12;12
Pa-Nova Timboteua;4;4;4
Pa-Novo Progresso;35;20;11
Pa-Novo Repartimento;51;44;21
Pa-Obidos;19;16;11
Pa-Oeiras do Para;1;1;0
Pa-Oriximina;14;16;15
Pa-Ourem;3;0;1
Pa-Ourilandia do Norte;39;32;29
Pa-Pacaja;40;29;16
Pa-Palestina do Para;10;11;5
Pa-Paragominas;157;160;127
Pa-Parauapebas;61;54;37
Pa-Pau D Arco;34;26;25
Pa-Peixe-Boi;9;8;3
Pa-Picarra;72;54;39
Pa-Placas;0;0;0
Pa-Ponta de Pedras;13;13;10
Pa-Portel;10;9;6
Pa-Porto de Moz;4;2;3
Pa-Prainha;5;4;4
Pa-Primavera;1;0;0
Pa-Quatipuru;1;0;0
Pa-Redencao;88;84;96
Pa-Rio Maria;137;112;66
Pa-Rondon do Para;195;132;61
Pa-Ruropolis;0;1;1
