Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Ro-Alta Floresta D Oeste;140;134;139;134;133;116;124;105;98;101;93
Ro-Ariquemes;354;353;324;324;313;317;293;294;297;283;257
Ro-Cabixi;39;41;39;38;38;39;31;26;27;30;27
Ro-Cacoal;210;212;217;228;223;209;204;184;168;162;162
Ro-Cerejeiras;40;39;42;43;44;45;39;33;36;37;42
Ro-Colorado do Oeste;84;86;74;67;57;63;73;72;67;56;52
Ro-Corumbiara;31;40;39;40;36;35;30;22;23;31;23
Ro-Costa Marques;47;36;33;31;27;25;20;17;15;14;14
Ro-Espigao D Oeste;150;146;137;129;119;116;113;106;105;85;100
Ro-Guajara-Mirim;45;44;42;37;35;31;26;23;22;25;21
Ro-Jaru;155;145;149;146;156;143;132;119;128;115;95
Ro-Ji-Parana;340;337;316;310;308;323;310;309;318;299;280
Ro-Machadinho D Oeste;77;69;59;55;49;55;55;42;34;28;33
Ro-Nova Brasilandia D Oeste;32;31;32;31;29;24;23;21;18;13;20
Ro-Ouro Preto do Oeste;163;160;151;123;123;122;134;122;120;107;103
Ro-Pimenta Bueno;231;240;229;217;228;229;235;237;221;216;222
Ro-Porto Velho;269;279;251;262;227;251;220;208;192;166;166
Ro-Presidente Medici;87;88;87;82;84;81;96;89;87;81;84
Ro-Rio Crespo;48;51;44;42;40;34;33;31;35;31;25
Ro-Rolim de Moura;129;129;124;116;130;116;112;115;112;100;99
Ro-Santa Luzia D Oeste;59;56;53;46;46;50;46;36;29;34;34
Ro-Vilhena;143;141;140;147;129;128;130;138;122;142;133
Ro-Sao Miguel do Guapore;58;55;56;52;41;43;48;52;43;44;46
Ro-Nova Mamore;46;45;40;41;33;24;25;28;24;18;19
Ro-Alvorada D Oeste;58;49;48;55;52;46;47;45;43;49;41
Ro-Alto Alegre dos Parecis;52;44;38;31;33;32;24;21;22;21;19
Ro-Alto Paraiso;52;46;53;56;50;49;36;29;24;17;22
Ro-Buritis;71;66;68;57;53;54;48;44;37;32;23
Ro-Novo Horizonte do Oeste;18;18;19;19;16;15;13;14;7;7;9
Ro-Cacaulandia;70;61;58;58;44;50;42;35;33;29;39
Ro-Campo Novo de Rondonia;51;52;47;45;40;37;25;18;19;15;11
Ro-Candeias do Jamari;62;53;50;49;29;31;31;26;20;23;23
Ro-Castanheiras;39;41;37;35;27;25;26;22;24;22;20
Ro-Chupinguaia;91;82;78;76;69;71;72;66;62;56;63
Ro-Cujubim;52;45;52;48;38;31;27;20;23;22;12
Ro-Governador Jorge Teixeira;26;18;19;20;15;12;14;9;9;5;6
Ro-Itapua do Oeste;24;23;21;25;19;19;18;15;16;11;9
Ro-Ministro Andreazza;17;17;16;15;18;16;11;14;13;10;12
Ro-Mirante da Serra;27;29;28;24;40;32;17;25;24;20;18
Ro-Monte Negro;78;73;75;69;64;58;48;48;35;32;29
Ro-Nova Uniao;21;19;16;13;16;11;14;16;15;11;8
Ro-Parecis;66;64;59;54;45;46;40;37;37;30;28
Ro-Pimenteiras do Oeste;32;26;26;32;34;27;22;18;20;24;20
Ro-Primavera de Rondonia;25;27;25;19;17;17;16;15;16;15;15
Ro-Sao Felipe D Oeste;21;18;19;17;15;18;13;12;13;8;7
Ro-Sao Francisco do Guapore;116;113;98;85;90;77;55;47;36;26;23
Ro-Seringueiras;36;28;27;24;23;18;18;13;13;10;10
Ro-Teixeiropolis;10;9;12;10;9;9;9;5;5;2;0
Ro-Theobroma;63;55;50;51;40;44;42;38;34;35;34
Ro-Urupa;26;21;18;18;22;26;22;19;17;11;9
Ro-Vale do Anari;24;17;17;19;14;17;15;10;5;5;6
Ro-Vale do Paraiso;32;32;34;30;31;30;26;20;21;22;21
Ro-Ignorado;0;0;0;0;0;0;0;0;0;0;0
Ac-Acrelandia;34;37;31;25;31;28;29;25;23;15;15
Ac-Assis Brasil;2;2;2;3;2;1;1;1;0;0;0
Ac-Brasileia;40;39;39;40;15;19;13;12;12;13;10
Ac-Bujari;47;42;43;47;52;44;42;33;29;28;33
Ac-Capixaba;22;17;14;16;13;10;13;16;11;10;9
Ac-Cruzeiro do Sul;24;23;27;24;18;15;20;18;14;16;15
