Município;2021;2020;2019;2018;2017
Ro-Alta Floresta D Oeste;154;163;166;156;154
Ro-Ariquemes;311;328;323;315;351
Ro-Cabixi;26;33;38;35;35
Ro-Cacoal;242;220;219;208;214
Ro-Cerejeiras;45;41;43;46;42
Ro-Colorado do Oeste;58;59;68;73;79
Ro-Corumbiara;49;54;50;39;38
Ro-Costa Marques;58;66;62;62;55
Ro-Espigao D Oeste;152;145;161;149;156
Ro-Guajara-Mirim;32;34;35;40;45
Ro-Jaru;143;137;136;143;158
Ro-Ji-Parana;322;300;310;327;323
Ro-Machadinho D Oeste;118;94;86;83;78
Ro-Nova Brasilandia D Oeste;46;38;43;36;36
Ro-Ouro Preto do Oeste;149;161;143;147;144
Ro-Pimenta Bueno;212;222;235;236;235
Ro-Porto Velho;290;256;267;285;287
Ro-Presidente Medici;111;100;92;93;94
Ro-Rio Crespo;54;51;43;46;47
Ro-Rolim de Moura;125;133;129;127;124
Ro-Santa Luzia D Oeste;52;57;57;65;61
Ro-Vilhena;117;124;149;143;143
Ro-Sao Miguel do Guapore;70;71;57;60;57
Ro-Nova Mamore;76;75;72;65;53
Ro-Alvorada D Oeste;76;67;69;65;65
Ro-Alto Alegre dos Parecis;63;62;60;57;52
Ro-Alto Paraiso;53;53;61;53;60
Ro-Buritis;97;78;88;85;81
Ro-Novo Horizonte do Oeste;27;23;24;23;20
Ro-Cacaulandia;72;71;68;61;67
Ro-Campo Novo de Rondonia;74;60;63;56;54
Ro-Candeias do Jamari;73;67;68;64;65
Ro-Castanheiras;48;41;46;41;41
Ro-Chupinguaia;76;88;95;93;96
Ro-Cujubim;56;55;47;53;53
Ro-Governador Jorge Teixeira;34;37;33;29;29
Ro-Itapua do Oeste;30;27;29;26;26
Ro-Ministro Andreazza;26;23;24;18;18
Ro-Mirante da Serra;22;23;28;24;24
Ro-Monte Negro;69;67;79;68;72
Ro-Nova Uniao;11;13;15;17;17
Ro-Parecis;70;70;77;72;69
Ro-Pimenteiras do Oeste;44;51;46;43;35
Ro-Primavera de Rondonia;26;27;30;29;27
Ro-Sao Felipe D Oeste;22;27;25;24;24
Ro-Sao Francisco do Guapore;130;121;119;117;115
Ro-Seringueiras;27;34;32;35;33
Ro-Teixeiropolis;17;17;10;9;10
Ro-Theobroma;58;57;59;63;64
Ro-Urupa;31;30;25;29;25
Ro-Vale do Anari;33;24;19;22;21
Ro-Vale do Paraiso;39;36;36;27;30
Ro-Ignorado;0;0;0;0;0
Ac-Acrelandia;32;37;34;35;39
Ac-Assis Brasil;4;3;3;4;3
Ac-Brasileia;21;23;23;40;40
Ac-Bujari;49;53;50;49;52
Ac-Capixaba;26;26;24;23;23
Ac-Cruzeiro do Sul;20;23;21;26;24
Ac-Epitaciolandia;7;8;10;9;7
Ac-Feijo;24;26;27;28;29
Ac-Jordao;0;0;0;0;0
Ac-Mancio Lima;1;2;2;0;3
Ac-Manoel Urbano;5;1;3;6;5
Ac-Marechal Thaumaturgo;1;1;1;2;1
Ac-Placido de Castro;59;58;59;63;56
Ac-Porto Walter;1;0;0;1;2
Ac-Rio Branco;215;227;234;238;243
Ac-Rodrigues Alves;1;1;1;3;2
Ac-Santa Rosa do Purus;0;0;0;0;0
Ac-Senador Guiomard;80;80;91;85;79
Ac-Sena Madureira;59;70;71;63;74
Ac-Tarauaca;56;48;56;60;62
Ac-Xapuri;36;39;43;44;41
Ac-Porto Acre;63;64;68;68;56
Ac-Ignorado;0;0;0;0;0
Am-Alvaraes;0;0;0;0;0
Am-Amatura;0;0;0;0;0
Am-Anama;0;0;0;0;0
Am-Anori;0;0;0;0;0
Am-Apui;6;5;8;9;8
Am-Atalaia do Norte;0;0;0;0;0
Am-Autazes;2;1;1;2;2
Am-Barcelos;0;0;0;0;0
Am-Barreirinha;0;0;0;0;0
Am-Benjamin Constant;1;0;0;0;0
Am-Beruri;0;0;0;0;0
Am-Boa Vista do Ramos;0;0;0;0;0
Am-Boca do Acre;76;70;63;69;51
Am-Borba;0;0;0;0;0
Am-Caapiranga;0;0;0;0;0
Am-Canutama;16;14;15;13;15
Am-Carauari;0;0;0;0;0
Am-Careiro;1;1;2;4;6
Am-Careiro da Varzea;0;0;0;0;0
Am-Coari;1;1;1;1;1
Am-Codajas;0;0;0;0;0
Am-Eirunepe;0;0;0;0;0
Am-Envira;1;1;1;0;0
Am-Fonte Boa;0;0;0;0;0
Am-Guajara;6;8;5;6;8
Am-Humaita;7;5;6;6;2
Am-Ipixuna;0;1;1;1;0
Am-Iranduba;1;1;1;1;1
Am-Itacoatiara;6;6;5;8;7
Am-Itamarati;0;0;0;0;0
Am-Itapiranga;0;0;0;0;0
Am-Japura;0;0;0;0;0
Am-Jurua;0;0;0;0;0
Am-Jutai;0;0;0;0;0
Am-Labrea;34;32;27;25;16
Am-Manacapuru;3;2;2;3;3
Am-Manaquiri;0;0;0;0;0
Am-Manaus;6;9;8;9;7
Am-Manicore;10;7;14;11;10
Am-Maraa;0;0;0;0;0
Am-Maues;0;1;0;2;2
Am-Nhamunda;0;0;0;0;0
Am-Nova Olinda do Norte;0;0;0;0;0
Am-Novo Airao;0;0;0;0;0
Am-Novo Aripuana;2;3;2;1;1
Am-Parintins;0;0;0;0;0
Am-Pauini;2;0;0;0;0
Am-Presidente Figueiredo;4;4;4;4;5
Am-Rio Preto da Eva;2;3;2;2;2
Am-Santa Isabel do Rio Negro;0;0;0;0;0
Am-Santo Antonio do Ica;0;0;0;0;0
Am-Sao Gabriel da Cachoeira;0;0;0;0;0
Am-Sao Paulo de Olivenca;0;0;0;0;0
Am-Sao Sebastiao do Uatuma;0;0;0;0;0
Am-Silves;1;0;0;0;0
Am-Tabatinga;0;0;0;0;0
Am-Tapaua;0;0;0;0;0
Am-Tefe;0;0;0;0;0
Am-Tonantins;0;0;0;0;0
Am-Uarini;0;0;0;0;0
Am-Urucara;0;0;0;0;0
Am-Urucurituba;0;0;0;0;0
Am-Ignorado;0;0;0;0;0
Rr-Amajari;21;16;16;14;17
Rr-Alto Alegre;10;8;10;11;10
Rr-Boa Vista;20;20;16;22;14
Rr-Bonfim;11;6;8;8;7
Rr-Canta;14;14;11;11;14
Rr-Caracarai;17;14;14;15;12
Rr-Caroebe;4;4;4;4;4
Rr-Iracema;9;5;4;5;3
Rr-Mucajai;32;31;37;35;29
Rr-Normandia;0;0;0;0;0
Rr-Pacaraima;0;0;0;0;0
Rr-Rorainopolis;9;10;12;8;10
Rr-Sao Joao da Baliza;5;6;5;4;3
Rr-Sao Luiz;7;6;5;7;9
Rr-Uiramuta;0;0;0;0;0
Rr-Ignorado;0;0;0;0;0
Pa-Abaetetuba;4;3;5;6;7
Pa-Abel Figueiredo;16;25;27;26;28
Pa-Acara;6;5;5;8;5
Pa-Afua;0;0;0;0;0
Pa-Agua Azul do Norte;213;210;203;197;191
Pa-Alenquer;3;1;1;5;3
Pa-Almeirim;2;2;2;1;1
Pa-Altamira;194;190;184;183;186
Pa-Anajas;0;0;0;0;0
Pa-Ananindeua;4;6;3;4;7
Pa-Anapu;32;31;29;24;30
Pa-Augusto Correa;1;1;1;1;1
Pa-Aurora do Para;21;25;30;27;32
Pa-Aveiro;0;1;0;2;2
Pa-Bagre;0;0;0;0;0
Pa-Baiao;19;19;19;21;24
Pa-Bannach;73;72;67;62;62
Pa-Barcarena;4;2;3;3;3
Pa-Belem;47;48;44;53;68
Pa-Belterra;5;6;5;6;3
Pa-Benevides;2;2;2;3;2
Pa-Bom Jesus do Tocantins;49;76;124;111;118
Pa-Bonito;0;1;3;3;3
Pa-Braganca;8;8;6;6;7
Pa-Brasil Novo;11;16;18;27;21
Pa-Brejo Grande do Araguaia;33;31;37;37;33
Pa-Breu Branco;76;76;73;80;75
Pa-Breves;1;0;0;0;0
Pa-Bujaru;5;6;5;4;3
Pa-Cachoeira do Piria;4;2;4;5;4
Pa-Cachoeira do Arari;9;9;10;7;7
Pa-Cameta;0;0;0;0;0
Pa-Canaa dos Carajas;43;37;31;40;36
Pa-Capanema;13;10;11;9;9
Pa-Capitao Poco;18;19;20;16;14
Pa-Castanhal;41;39;43;42;46
Pa-Chaves;12;13;20;21;20
Pa-Colares;0;1;1;1;1
Pa-Conceicao do Araguaia;101;93;91;99;110
Pa-Concordia do Para;11;12;12;12;10
Pa-Cumaru do Norte;104;105;105;103;106
Pa-Curionopolis;58;57;60;70;70
Pa-Curralinho;0;0;0;0;0
Pa-Curua;0;0;0;0;0
Pa-Curuca;2;3;3;4;3
Pa-Dom Eliseu;37;40;45;54;58
Pa-Eldorado do Carajas;51;49;47;42;46
Pa-Faro;0;0;0;0;0
Pa-Floresta do Araguaia;41;41;47;45;41
Pa-Garrafao do Norte;4;3;5;5;5
Pa-Goianesia do Para;105;98;80;88;83
Pa-Gurupa;0;0;0;0;0
Pa-Igarape-Acu;13;15;15;17;15
Pa-Igarape-Miri;0;0;0;0;0
Pa-Inhangapi;8;10;7;8;9
Pa-Ipixuna do Para;45;40;40;35;39
Pa-Irituia;19;22;15;20;24
Pa-Itaituba;40;30;37;34;43
Pa-Itupiranga;91;89;93;99;87
Pa-Jacareacanga;3;3;3;7;5
Pa-Jacunda;70;65;57;73;71
Pa-Juruti;0;0;0;0;0
Pa-Limoeiro do Ajuru;0;0;0;0;0
Pa-Mae do Rio;17;25;25;20;19
Pa-Magalhaes Barata;2;2;3;3;2
Pa-Maraba;252;272;289;279;325
Pa-Maracana;7;7;6;7;3
Pa-Marapanim;4;3;2;4;3
Pa-Marituba;0;0;0;0;0
Pa-Medicilandia;13;14;15;18;17
Pa-Melgaco;0;0;0;0;0
Pa-Mocajuba;0;0;1;0;0
Pa-Moju;33;24;23;21;21
Pa-Mojui dos Campos;5;2;3;3;3
Pa-Monte Alegre;8;4;4;2;6
Pa-Muana;6;6;7;3;3
Pa-Nova Esperanca do Piria;3;3;2;1;3
Pa-Nova Ipixuna;25;25;25;26;25
Pa-Nova Timboteua;9;12;11;14;12
Pa-Novo Progresso;171;163;156;153;162
Pa-Novo Repartimento;158;149;145;160;157
Pa-Obidos;19;20;22;21;15
Pa-Oeiras do Para;0;0;0;0;0
Pa-Oriximina;19;23;16;25;25
Pa-Ourem;8;8;6;7;7
Pa-Ourilandia do Norte;74;67;63;60;67
Pa-Pacaja;63;60;64;65;68
Pa-Palestina do Para;30;29;28;28;25
Pa-Paragominas;207;194;203;225;218
Pa-Parauapebas;72;72;67;75;81
Pa-Pau D Arco;42;39;40;35;33
Pa-Peixe-Boi;12;14;15;13;12
Pa-Picarra;99;81;97;103;103
Pa-Placas;5;2;3;3;4
Pa-Ponta de Pedras;9;8;8;9;11
Pa-Portel;6;5;5;5;5
Pa-Porto de Moz;4;4;3;3;6
Pa-Prainha;5;3;3;1;3
Pa-Primavera;1;2;2;3;4
Pa-Quatipuru;0;0;0;1;1
Pa-Redencao;153;151;162;162;181
Pa-Rio Maria;186;187;188;181;174
Pa-Rondon do Para;162;160;181;198;220
Pa-Ruropolis;7;3;4;4;7
Pa-Salinopolis;0;0;0;0;0
Pa-Salvaterra;2;3;2;5;6
Pa-Santa Barbara do Para;2;2;2;1;2
Pa-Santa Cruz do Arari;5;5;9;8;6
Pa-Santa Izabel do Para;16;17;17;21;19
Pa-Santa Luzia do Para;17;14;14;14;18
Pa-Santa Maria das Barreiras;132;118;116;110;122
Pa-Santa Maria do Para;8;10;9;10;12
Pa-Santana do Araguaia;152;125;140;150;147
Pa-Santarem;25;25;29;31;30
Pa-Santarem Novo;4;6;4;4;1
Pa-Santo Antonio do Taua;7;9;9;6;8
Pa-Sao Caetano de Odivelas;1;2;1;1;1
Pa-Sao Domingos do Araguaia;40;37;44;40;41
Pa-Sao Domingos do Capim;24;18;17;15;14
Pa-Sao Felix do Xingu;406;391;384;395;398
Pa-Sao Francisco do Para;20;16;15;18;17
Pa-Sao Geraldo do Araguaia;121;118;126;132;129
Pa-Sao Joao da Ponta;1;1;0;0;1
Pa-Sao Joao de Pirabas;1;0;0;0;1
Pa-Sao Joao do Araguaia;31;26;32;34;33
Pa-Sao Miguel do Guama;20;26;23;22;24
Pa-Sao Sebastiao da Boa Vista;0;0;0;0;0
Pa-Sapucaia;42;41;46;49;49
Pa-Senador Jose Porfirio;9;7;6;6;5
Pa-Soure;11;11;11;14;15
Pa-Tailandia;37;28;34;34;44
Pa-Terra Alta;3;4;3;4;3
Pa-Terra Santa;1;1;1;1;1
Pa-Tome-Acu;60;54;55;61;55
Pa-Tracuateua;3;3;1;1;1
Pa-Trairao;7;5;3;1;2
Pa-Tucuma;88;98;100;113;124
Pa-Tucurui;40;36;41;40;39
Pa-Ulianopolis;28;29;30;31;33
Pa-Uruara;48;38;36;45;38
Pa-Vigia;3;2;4;3;4
Pa-Viseu;15;12;12;18;17
Pa-Vitoria do Xingu;46;50;44;46;41
Pa-Xinguara;196;198;210;210;213
Pa-Ignorado;0;0;0;0;0
Ap-Serra do Navio;0;0;0;0;0
Ap-Amapa;2;3;2;2;3
Ap-Pedra Branca do Amapari;0;0;0;0;0
Ap-Calcoene;1;1;0;1;1
Ap-Cutias;3;3;2;4;4
Ap-Ferreira Gomes;0;0;0;1;1
Ap-Itaubal;3;3;2;4;4
Ap-Laranjal do Jari;1;1;2;2;1
Ap-Macapa;14;24;18;27;30
Ap-Mazagao;2;1;0;3;3
Ap-Oiapoque;2;2;0;1;0
Ap-Porto Grande;3;6;2;1;2
Ap-Pracuuba;0;0;1;2;1
Ap-Santana;3;2;3;3;3
Ap-Tartarugalzinho;1;2;1;0;1
Ap-Vitoria do Jari;0;0;1;0;1
Ap-Ignorado;0;0;0;0;0
To-Abreulandia;33;31;35;28;28
To-Aguiarnopolis;8;5;5;6;4
To-Alianca do Tocantins;57;53;57;60;63
To-Almas;36;31;28;29;26
To-Alvorada;59;51;51;53;52
To-Ananas;45;37;40;37;37
To-Angico;4;4;3;3;3
To-Aparecida do Rio Negro;16;15;16;14;17
To-Aragominas;55;55;56;53;51
To-Araguacema;16;15;16;18;23
To-Araguacu;174;164;171;162;160
To-Araguaina;264;275;290;312;303
To-Araguana;39;36;38;33;32
To-Araguatins;57;54;59;59;59
To-Arapoema;90;94;98;98;88
To-Arraias;73;81;83;78;81
To-Augustinopolis;35;37;38;34;36
To-Aurora do Tocantins;11;10;7;8;10
To-Axixa do Tocantins;17;15;17;21;19
To-Babaculandia;62;60;66;55;53
To-Bandeirantes do Tocantins;89;85;86;85;77
To-Barra do Ouro;11;9;9;10;9
To-Barrolandia;36;43;37;41;35
To-Bernardo Sayao;34;33;32;37;33
To-Bom Jesus do Tocantins;13;13;14;15;13
To-Brasilandia do Tocantins;25;19;27;26;25
To-Brejinho de Nazare;28;30;34;38;40
To-Buriti do Tocantins;10;9;11;10;11
To-Cachoeirinha;3;3;3;3;3
To-Campos Lindos;14;12;10;9;12
To-Cariri do Tocantins;51;52;58;56;59
To-Carmolandia;16;18;17;16;17
To-Carrasco Bonito;12;10;11;11;13
To-Caseara;18;18;16;17;17
To-Centenario;4;6;5;5;3
To-Chapada de Areia;17;14;14;11;10
To-Chapada da Natividade;11;8;9;11;8
To-Colinas do Tocantins;107;102;106;112;119
To-Combinado;8;10;10;11;12
To-Conceicao do Tocantins;14;13;11;14;18
To-Couto Magalhaes;29;27;29;27;29
To-Cristalandia;60;53;56;50;47
To-Crixas do Tocantins;14;14;15;13;13
To-Darcinopolis;19;17;21;21;24
To-Dianopolis;35;34;36;47;46
To-Divinopolis do Tocantins;58;64;63;63;63
To-Dois Irmaos do Tocantins;74;70;76;66;64
To-Duere;122;107;124;125;124
To-Esperantina;7;7;6;5;6
To-Fatima;19;21;16;19;17
To-Figueiropolis;80;67;74;71;69
To-Filadelfia;63;61;63;60;60
To-Formoso do Araguaia;118;108;114;108;111
To-Fortaleza do Tabocao;33;33;30;25;31
To-Goianorte;15;13;15;17;18
To-Goiatins;25;20;20;22;23
To-Guarai;108;109;116;109;120
To-Gurupi;170;164;179;171;189
To-Ipueiras;6;5;6;7;8
To-Itacaja;24;18;19;15;19
To-Itaguatins;19;20;19;18;18
To-Itapiratins;15;15;16;16;19
To-Itapora do Tocantins;47;42;43;38;41
To-Jau do Tocantins;34;28;29;35;32
To-Juarina;16;12;11;9;9
To-Lagoa da Confusao;25;32;34;34;29
To-Lagoa do Tocantins;4;0;2;4;5
To-Lajeado;11;11;8;14;9
To-Lavandeira;5;4;5;6;5
To-Lizarda;0;0;2;3;3
To-Luzinopolis;4;4;4;4;5
To-Marianopolis do Tocantins;50;53;58;49;43
To-Mateiros;0;0;0;0;0
To-Maurilandia do Tocantins;3;5;6;5;4
To-Miracema do Tocantins;104;98;100;102;107
To-Miranorte;42;43;46;45;48
To-Monte do Carmo;56;56;57;57;62
To-Monte Santo do Tocantins;49;44;40;36;36
To-Palmeiras do Tocantins;19;18;14;15;17
To-Muricilandia;42;41;45;44;41
To-Natividade;54;50;50;54;53
To-Nazare;8;8;8;6;5
To-Nova Olinda;52;53;53;60;52
To-Nova Rosalandia;11;15;13;12;14
To-Novo Acordo;10;10;11;11;10
To-Novo Alegre;7;7;6;8;8
To-Novo Jardim;12;13;13;12;8
To-Oliveira de Fatima;7;6;7;5;6
To-Palmeirante;49;44;49;50;47
To-Palmeiropolis;48;31;49;47;51
To-Paraiso do Tocantins;132;130;128;146;149
To-Parana;60;61;64;59;57
To-Pau D Arco;32;32;29;28;27
To-Pedro Afonso;21;28;22;19;16
To-Peixe;122;110;114;116;116
To-Pequizeiro;36;38;38;34;34
To-Colmeia;44;45;49;45;37
To-Pindorama do Tocantins;7;11;11;10;9
To-Piraque;38;35;37;37;33
To-Pium;95;90;88;91;76
To-Ponte Alta do Bom Jesus;11;15;12;11;12
To-Ponte Alta do Tocantins;41;33;25;22;25
To-Porto Alegre do Tocantins;7;5;3;0;1
To-Porto Nacional;162;145;146;149;167
To-Praia Norte;6;10;9;7;6
To-Presidente Kennedy;32;27;29;32;32
To-Pugmil;9;12;16;11;11
To-Recursolandia;17;13;10;13;10
To-Riachinho;10;12;13;10;5
To-Rio da Conceicao;2;0;0;1;1
To-Rio dos Bois;8;9;9;10;12
To-Rio Sono;29;32;26;26;24
To-Sampaio;3;2;2;4;4
To-Sandolandia;59;46;51;52;52
To-Santa Fe do Araguaia;64;57;58;62;64
To-Santa Maria do Tocantins;13;11;11;10;13
To-Santa Rita do Tocantins;46;47;38;41;37
To-Santa Rosa do Tocantins;18;21;16;19;16
To-Santa Tereza do Tocantins;7;7;6;4;6
To-Santa Terezinha do Tocantins;4;3;3;2;1
To-Sao Bento do Tocantins;14;11;11;11;10
To-Sao Felix do Tocantins;0;3;1;1;1
To-Sao Miguel do Tocantins;8;8;7;11;10
To-Sao Salvador do Tocantins;28;21;20;20;17
To-Sao Sebastiao do Tocantins;6;6;5;6;6
To-Sao Valerio;30;23;30;29;27
To-Silvanopolis;14;9;10;11;14
To-Sitio Novo do Tocantins;10;10;10;10;9
To-Sucupira;26;26;26;24;23
To-Taguatinga;45;32;37;36;36
To-Taipas do Tocantins;13;14;11;8;7
To-Talisma;66;55;58;63;62
To-Palmas;66;61;74;84;93
To-Tocantinia;11;11;10;11;11
To-Tocantinopolis;24;23;24;30;30
To-Tupirama;9;7;7;6;7
To-Tupiratins;13;9;8;10;9
To-Wanderlandia;46;48;44;40;47
