Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Ro-Alta Floresta D Oeste;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Ariquemes;10;7;4;2;1;0;0;0;1;0;0;0;0;0;0;0
Ro-Cabixi;13;12;7;4;2;2;3;2;2;1;1;1;1;2;1;2
Ro-Cacoal;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Ro-Cerejeiras;40;35;32;25;20;21;22;25;20;15;17;13;10;8;4;2
Ro-Colorado do Oeste;7;6;5;4;4;5;5;3;4;4;4;4;3;5;3;1
Ro-Corumbiara;12;10;6;5;4;4;5;3;3;2;2;4;3;3;3;2
Ro-Costa Marques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Espigao D Oeste;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Ro-Guajara-Mirim;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Ro-Jaru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Ji-Parana;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Machadinho D Oeste;6;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Nova Brasilandia D Oeste;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Ouro Preto do Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ro-Pimenta Bueno;2;2;2;2;2;1;1;1;0;0;0;0;0;0;0;0
Ro-Porto Velho;12;11;7;6;5;4;3;1;3;2;1;2;1;1;1;0
Ro-Presidente Medici;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Rio Crespo;12;10;3;5;2;1;1;0;1;0;1;0;0;0;0;0
Ro-Rolim de Moura;3;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Santa Luzia D Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Vilhena;45;45;37;38;40;35;37;36;37;33;29;28;24;27;23;19
Ro-Sao Miguel do Guapore;13;8;6;5;5;3;4;3;1;0;0;0;0;0;0;0
Ro-Nova Mamore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Alvorada D Oeste;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Alto Alegre dos Parecis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Alto Paraiso;19;11;10;8;3;4;3;2;2;0;1;0;0;0;0;0
Ro-Buritis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ro-Novo Horizonte do Oeste;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Cacaulandia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Campo Novo de Rondonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Candeias do Jamari;10;7;7;4;1;0;0;0;0;0;0;0;0;0;0;0
Ro-Castanheiras;4;4;4;3;1;1;1;1;1;0;0;0;0;0;0;0
Ro-Chupinguaia;7;9;8;2;2;2;1;4;3;2;2;2;1;1;0;1
Ro-Cujubim;10;6;5;2;2;1;2;0;0;0;0;0;0;0;0;0
Ro-Governador Jorge Teixeira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Itapua do Oeste;2;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Ro-Ministro Andreazza;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Mirante da Serra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Monte Negro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Nova Uniao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Parecis;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Ro-Pimenteiras do Oeste;19;11;9;6;6;9;6;8;5;3;1;2;1;0;2;0
Ro-Primavera de Rondonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Sao Felipe D Oeste;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
Ro-Sao Francisco do Guapore;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0
Ro-Seringueiras;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Teixeiropolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
