Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Ro-Alta Floresta D Oeste;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Ariquemes;42;34;18;13;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Cabixi;91;77;69;22;3;19;16;15;11;1;1;1;1;15;1;11
Ro-Cacoal;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Ro-Cerejeiras;153;131;128;144;178;135;123;111;90;60;41;34;36;14;6;2
Ro-Colorado do Oeste;23;18;18;15;13;15;14;11;12;10;8;8;8;3;3;1
Ro-Corumbiara;121;96;78;64;44;34;37;18;17;13;13;10;14;10;11;6
Ro-Costa Marques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Espigao D Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Ro-Guajara-Mirim;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Ro-Jaru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Ji-Parana;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Machadinho D Oeste;22;16;12;5;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Nova Brasilandia D Oeste;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Ouro Preto do Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ro-Pimenta Bueno;4;5;5;3;3;1;1;2;0;0;0;0;0;0;0;0
Ro-Porto Velho;105;88;90;29;61;31;82;1;2;4;3;7;1;1;2;0
Ro-Presidente Medici;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Rio Crespo;135;127;54;59;9;8;7;0;6;0;0;0;0;0;0;0
Ro-Rolim de Moura;15;35;10;3;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Santa Luzia D Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Vilhena;674;561;500;437;376;280;265;255;264;190;174;165;177;159;138;102
Ro-Sao Miguel do Guapore;60;40;37;31;13;6;11;4;1;0;0;0;0;0;0;0
Ro-Nova Mamore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Alvorada D Oeste;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Alto Alegre dos Parecis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Alto Paraiso;91;56;40;41;4;7;6;3;2;0;1;0;0;0;0;0
Ro-Buritis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
Ro-Novo Horizonte do Oeste;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Cacaulandia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Campo Novo de Rondonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Candeias do Jamari;170;130;143;104;5;0;0;0;0;0;0;0;0;0;0;0
Ro-Castanheiras;14;7;9;4;1;1;1;1;1;0;0;0;0;0;0;0
Ro-Chupinguaia;126;120;111;13;7;9;21;33;5;2;4;5;1;1;0;0
Ro-Cujubim;56;32;23;6;3;1;1;0;0;0;0;0;0;0;0;0
Ro-Governador Jorge Teixeira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Itapua do Oeste;10;5;3;0;0;0;0;0;0;13;0;0;0;0;0;0
Ro-Ministro Andreazza;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Mirante da Serra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Monte Negro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Nova Uniao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Parecis;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Ro-Pimenteiras do Oeste;163;107;94;19;17;16;13;13;10;10;1;3;1;0;0;0
Ro-Primavera de Rondonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Sao Felipe D Oeste;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Ro-Sao Francisco do Guapore;0;24;7;0;0;0;0;0;0;0;0;0;0;1;0;0
Ro-Seringueiras;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Teixeiropolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ro-Theobroma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
