Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1100015;Alta Floresta D'Oeste (RO);304501;356520;364298;346379;352496;356190;355942;364184;365538;372731;386456;391388;407890;403973;408765;421964;428976;460450;473192;549541
MU;1100023;Ariquemes (RO);418289;438748;452222;457625;427585;423750;440053;439355;446471;442851;427419;431871;455731;449108;477322;491414;477665;499067;509210;589542
MU;1100031;Cabixi (RO);130276;126470;124938;127163;125083;115908;119429;126455;122807;114831;126719;120979;130561;129593;126630;128240;121798;121887;124604;125615
MU;1100049;Cacoal (RO);408234;442615;422577;415620;390063;398202;407258;417489;419282;430072;427708;438698;454967;452130;463570;451876;432640;427096;437032;510455
MU;1100056;Cerejeiras (RO);101192;95498;92561;92916;89098;87554;87536;88031;89782;85034;84383;83281;90184;93540;96654;92156;89884;84738;82558;98342
MU;1100064;Colorado do Oeste (RO);205153;226997;221730;222276;207787;208772;221575;230173;235774;238188;253874;250682;255188;262026;266464;264031;255696;260077;267070;300433
MU;1100072;Corumbiara (RO);283556;281191;282155;270117;246615;233144;239998;256878;270673;271338;281585;276666;308620;326989;334610;328066;324898;309415;308673;363765
MU;1100080;Costa Marques (RO);62196;79145;94942;111780;133138;138318;146918;158812;175476;196795;213667;220491;229225;221944;218071;231147;253226;261485;265041;316004
MU;1100098;Espigão D'Oeste (RO);333746;388408;389533;362457;339248;344269;356283;364625;372401;374000;370767;384560;397743;406140;408811;400384;389774;386629;383370;438153
MU;1100106;Guajará-Mirim (RO);90697;101690;115728;128140;122993;119672;116824;115725;124439;119842;117420;117173;127103;124906;125663;123155;128580;136716;141386;162086
MU;1100114;Jaru (RO);420187;504004;525369;520925;501994;491908;510829;505302;506417;512125;509926;512236;522371;528035;542636;538523;517149;526279;534672;604613
MU;1100122;Ji-Paraná (RO);425392;488532;497822;464058;425983;424770;436200;436353;433821;430038;428618;424792;440260;441715;432563;428178;391649;393578;402959;458010
MU;1100130;Machadinho D'Oeste (RO);127539;166981;200750;212517;215719;231390;241871;257179;237991;229511;237290;267815;291490;317606;349247;374578;389409;407629;416642;497182
MU;1100148;Nova Brasilândia D'Oeste (RO);149231;179975;200135;203523;117904;121534;122907;125810;129261;143846;154298;168979;179418;197814;209837;226734;219631;230251;226852;268156
MU;1100155;Ouro Preto do Oeste (RO);333064;351553;359948;357020;331059;332295;331503;336278;340610;349716;345353;355206;354303;358450;373707;370751;356573;356886;361116;406601
MU;1100189;Pimenta Bueno (RO);262371;316283;297306;246197;220755;231645;234393;238284;241637;237865;248692;253103;269375;287288;287642;293633;304879;312938;318608;388946
MU;1100205;Porto Velho (RO);400092;426479;539067;579892;567948;608664;617901;609860;679837;707405;711903;741165;834570;900419;969745;1043523;1141763;1267441;1353947;1685258
MU;1100254;Presidente Médici (RO);226710;288775;286266;288162;265162;269672;275768;285603;286207;290539;292905;304972;317417;333301;346128;346773;337316;349255;358271;397524
MU;1100262;Rio Crespo (RO);109821;130770;136632;142798;136467;138051;133964;131458;129382;121950;118342;124086;120699;123673;126550;123522;124462;120602;123859;136542
MU;1100288;Rolim de Moura (RO);232344;237784;245576;235513;217321;217633;222679;223627;227932;230908;226115;235862;247957;235599;244242;234930;238803;238534;238493;273390
MU;1100296;Santa Luzia D'Oeste (RO);168574;178574;178705;172555;154431;157892;169958;166146;168145;172502;166641;168280;175488;167818;174700;176864;173169;180501;182047;197058
MU;1100304;Vilhena (RO);116620;121352;116426;113245;101901;89015;92180;94648;95623;99636;105138;111404;120620;125403;119810;124463;132312;142155;131267;164264
MU;1100320;São Miguel do Guaporé (RO);170035;201217;223897;229183;277182;268155;272969;279618;275003;268104;254362;256339;265421;256829;247679;253377;252173;258493;262056;296981
MU;1100338;Nova Mamoré (RO);167778;216403;272639;311212;342839;373544;404432;416240;439615;461573;490298;518311;565040;610056;651221;701104;730528;769264;807820;1011353
MU;1100346;Alvorada D'Oeste (RO);219190;236845;251173;240813;219112;222937;229952;230455;236973;241826;241850;247977;260624;263913;269695;261846;260560;267652;268615;316015
MU;1100379;Alto Alegre dos Parecis (RO);107765;119044;135827;137542;146856;152251;146679;150237;154310;159276;165944;179572;187193;192322;198631;203310;208256;218733;223815;264539
MU;1100403;Alto Paraíso (RO);111927;147404;180217;199807;200050;202652;207357;223768;220562;219720;221872;236100;258895;280650;298448;317253;316074;342015;351664;407786
MU;1100452;Buritis (RO);209341;258939;305694;329721;344315;359747;387858;423659;431297;441629;454748;460992;458876;477919;501909;529731;516674;520182;539404;640306
MU;1100502;Novo Horizonte do Oeste (RO);102266;132609;130362;125118;110257;117169;120158;127459;131027;135700;136804;147619;152638;147372;151429;149268;147395;156192;151819;177383
MU;1100601;Cacaulândia (RO);210493;230860;248212;257267;230812;249598;258799;250628;250332;249882;239817;243935;245529;250680;259123;263812;266424;279099;281523;325162
MU;1100700;Campo Novo de Rondônia (RO);124740;165074;198663;222616;229788;260865;278067;300509;317725;334933;347723;376300;390284;403091;433288;443867;436781;437296;441603;527453
MU;1100809;Candeias do Jamari (RO);128282;143362;158361;167107;164281;165035;175700;190632;178466;184273;184782;197708;204124;203176;219785;230988;243416;269105;286074;357005
MU;1100908;Castanheiras (RO);118279;124885;124302;111712;93252;97953;101166;105459;107274;104658;103463;108859;111974;112474;109587;114751;110348;110987;113913;121721
MU;1100924;Chupinguaia (RO);315298;327362;302250;306181;297586;288991;288820;291492;295873;302427;298301;317650;360455;357566;350128;347241;344137;357045;331334;366857
MU;1100940;Cujubim (RO);63006;83200;97144;114223;112645;123244;133254;146788;151213;146325;146686;161574;168770;180316;197405;209176;212325;214798;221345;277002
MU;1101005;Governador Jorge Teixeira (RO);171247;197981;222454;231470;228410;238092;242948;243821;372401;263085;263640;265120;276082;279947;284364;280259;274933;283199;289137;335150
MU;1101104;Itapuã do Oeste (RO);60426;70212;81127;78578;75584;69677;76644;79960;75080;73071;75702;81438;84506;87846;87722;95028;94892;91600;96389;107252
MU;1101203;Ministro Andreazza (RO);92776;108374;115465;113476;107190;110410;112236;113034;115755;120122;119537;122546;128252;134436;136175;129642;127192;130873;133658;159783
MU;1101302;Mirante da Serra (RO);89361;99672;103407;106692;102159;102486;103900;104818;105471;109068;110969;117450;124192;124804;124788;125999;124997;125448;127089;145135
MU;1101401;Monte Negro (RO);172021;199418;223065;234456;231447;232887;240209;249420;257043;257349;258038;273072;290367;288694;299342;305337;302911;309675;325178;403392
MU;1101435;Nova União (RO);107855;119347;127248;125556;118334;118207;123570;126990;126513;132292;133635;135796;140449;143411;148214;149370;145648;145021;146152;170097
MU;1101450;Parecis (RO);117125;136149;151216;159493;130780;127928;144200;144436;157501;155437;160015;169207;171220;174178;176568;178331;185513;189292;179388;212108
MU;1101468;Pimenteiras do Oeste (RO);104237;109886;108165;126115;122092;117945;119378;118278;121781;116700;119218;118169;142601;133875;126889;138696;114046;119006;125967;118722
MU;1101476;Primavera de Rondônia (RO);77793;74738;75035;70595;68239;68064;67449;71837;71181;72273;72879;72923;79478;76826;74448;75096;76120;75718;79701;91824
MU;1101484;São Felipe D'Oeste (RO);55299;99074;103994;98444;92760;91924;93368;94485;93022;93767;94617;99811;101515;102749;104548;106037;107922;109512;114002;122746
MU;1101492;São Francisco do Guaporé (RO);212196;267254;309739;356298;366361;367014;387330;418428;422150;435470;435786;446567;450615;444565;440897;447277;444048;453890;460585;525537
MU;1101500;Seringueiras (RO);140224;163639;183245;189311;167263;167129;175196;180213;183999;187029;186278;189773;206046;217499;216579;209322;204612;218743;225651;276425
MU;1101559;Teixeirópolis (RO);69454;86530;90519;84799;85631;86986;89927;93479;95241;96109;96628;97200;98334;101089;101765;101214;100129;101523;103846;117663
MU;1101609;Theobroma (RO);212596;233603;255134;262905;247848;242849;239159;253717;259440;250974;240540;257790;267952;262109;278846;279830;274396;269709;272953;304610
MU;1101708;Urupá (RO);117211;139544;153665;156005;145587;148178;153753;152715;156434;161774;162567;166665;167596;172656;179442;181635;171547;173029;176362;197131
MU;1101757;Vale do Anari (RO);77039;100079;111978;107248;109064;113613;121482;128471;121179;113210;114935;128586;141624;144962;145140;149916;152188;159969;159975;186174
MU;1101807;Vale do Paraíso (RO);157309;150392;160569;159341;149139;150423;154962;158752;158892;158658;163118;165588;166138;168720;173956;173543;172782;173721;172414;193433
MU;1200013;Acrelândia (AC);116383;123837;150902;178905;168142;185359;185359;188756;173174;173341;176318;181757;191969;195409;185933;211543;228063;250619;250589;265517
MU;1200054;Assis Brasil (AC);13870;16646;23519;26398;24565;28420;31058;33208;35454;38796;39318;41791;43684;41070;43859;49578;52286;49451;58266;71801
MU;1200104;Brasiléia (AC);150901;138572;152363;171864;161993;177158;183082;182221;186067;197588;202584;209888;222677;223278;213298;250032;262722;278548;314001;352222
