Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Ro-Alta Floresta D Oeste;54;31;22;20;9;3;6;5;6;5;1
Ro-Ariquemes;96;74;299;330;342;501;744;394;431;411;655
Ro-Cabixi;0;0;0;0;0;0;0;0;0;0;0
Ro-Cacoal;501;522;611;628;612;659;880;617;810;805;929
Ro-Cerejeiras;4;4;3;1;0;0;0;0;0;1;0
Ro-Colorado do Oeste;7;8;0;6;3;4;10;188;173;165;8
Ro-Corumbiara;0;0;0;0;0;0;0;0;0;0;0
Ro-Costa Marques;1;0;0;0;0;0;0;0;0;0;0
Ro-Espigao D Oeste;514;497;461;464;322;469;433;389;400;410;284
Ro-Guajara-Mirim;38;38;37;0;0;0;0;0;0;1;0
Ro-Jaru;1940;1880;1731;1750;1591;1461;1277;1024;1099;1283;1029
Ro-Ji-Parana;970;732;647;637;635;626;594;1659;1412;1025;632
Ro-Machadinho D Oeste;6;0;1;2;1;0;0;0;0;0;0
Ro-Nova Brasilandia D Oeste;5;5;0;0;0;0;0;0;0;0;0
Ro-Ouro Preto do Oeste;1;0;1;0;0;0;0;0;0;0;0
Ro-Pimenta Bueno;870;880;771;762;748;329;481;565;326;342;215
Ro-Porto Velho;484;444;518;552;543;498;461;318;413;353;287
Ro-Presidente Medici;0;0;0;0;0;0;0;0;0;0;3
Ro-Rio Crespo;0;0;0;1;2;1;1;1;0;0;0
Ro-Rolim de Moura;1164;938;2101;2208;2032;1565;772;394;1554;1605;1113
Ro-Santa Luzia D Oeste;0;0;0;0;0;0;0;0;0;0;0
Ro-Vilhena;1298;1248;1113;1236;1137;872;821;839;1061;1180;923
Ro-Sao Miguel do Guapore;872;903;787;932;1370;623;666;406;77;49;0
Ro-Nova Mamore;2;2;14;17;14;16;0;0;0;0;0
Ro-Alvorada D Oeste;4;3;3;1;1;0;0;0;0;0;0
Ro-Alto Alegre dos Parecis;0;0;0;0;0;0;0;0;0;0;0
Ro-Alto Paraiso;0;1;1;7;0;1;1;0;0;0;0
Ro-Buritis;7;8;11;8;6;8;10;8;8;1;2
Ro-Novo Horizonte do Oeste;0;0;0;0;0;0;0;0;0;0;0
Ro-Cacaulandia;0;0;0;0;0;0;0;0;0;0;0
Ro-Campo Novo de Rondonia;0;0;0;6;5;9;11;3;0;0;0
Ro-Candeias do Jamari;29;26;30;34;32;38;62;38;37;56;63
Ro-Castanheiras;0;0;0;0;0;0;0;0;0;0;0
Ro-Chupinguaia;6;866;643;412;652;609;642;584;285;384;292
Ro-Cujubim;6;0;0;0;0;0;0;0;0;0;0
Ro-Governador Jorge Teixeira;0;0;0;0;0;0;0;0;0;0;0
Ro-Itapua do Oeste;0;0;0;0;0;0;1;0;0;0;0
