Município;2005;2004;2003
Ro-Alta Floresta D Oeste;147;130;74
Ro-Ariquemes;659;310;322
Ro-Cabixi;55;44;40
Ro-Cacoal;230;208;201
Ro-Cerejeiras;137;127;120
Ro-Colorado do Oeste;84;80;58
Ro-Corumbiara;168;138;117
Ro-Costa Marques;19;9;3
Ro-Espigao D Oeste;201;201;183
Ro-Guajara-Mirim;22;26;10
Ro-Jaru;119;104;86
Ro-Ji-Parana;390;392;357
Ro-Machadinho D Oeste;34;29;22
Ro-Nova Brasilandia D Oeste;16;19;22
Ro-Ouro Preto do Oeste;142;119;110
Ro-Pimenta Bueno;467;445;374
Ro-Porto Velho;351;313;140
Ro-Presidente Medici;96;95;100
Ro-Rio Crespo;54;45;16
Ro-Rolim de Moura;106;131;108
Ro-Santa Luzia D Oeste;115;75;49
Ro-Vilhena;601;542;386
Ro-Sao Miguel do Guapore;57;57;29
Ro-Nova Mamore;27;26;15
Ro-Alvorada D Oeste;59;43;40
Ro-Alto Alegre dos Parecis;19;20;6
Ro-Alto Paraiso;20;18;5
Ro-Buritis;26;17;6
Ro-Novo Horizonte do Oeste;26;15;13
Ro-Cacaulandia;35;29;11
Ro-Campo Novo de Rondonia;60;34;30
Ro-Candeias do Jamari;32;46;42
Ro-Castanheiras;64;59;48
Ro-Chupinguaia;336;289;218
Ro-Cujubim;7;2;3
Ro-Governador Jorge Teixeira;8;9;8
Ro-Itapua do Oeste;4;3;9
Ro-Ministro Andreazza;12;12;7
Ro-Mirante da Serra;13;13;12
Ro-Monte Negro;32;32;21
Ro-Nova Uniao;17;12;6
Ro-Parecis;70;44;19
Ro-Pimenteiras do Oeste;95;93;48
Ro-Primavera de Rondonia;22;16;14
Ro-Sao Felipe D Oeste;14;22;11
Ro-Sao Francisco do Guapore;29;20;10
Ro-Seringueiras;20;19;9
Ro-Teixeiropolis;0;0;0
Ro-Theobroma;71;81;56
Ro-Urupa;11;9;6
Ro-Vale do Anari;9;4;2
Ro-Vale do Paraiso;25;23;7
Ro-Ignorado;0;0;0
Ac-Acrelandia;20;14;10
Ac-Assis Brasil;0;14;16
Ac-Brasileia;33;28;11
Ac-Bujari;62;62;48
