Município;2021;2020;2019;2018;2017
Ro-Alta Floresta D Oeste;281;354;355;352;286
Ro-Ariquemes;759;827;775;836;841
Ro-Cabixi;41;57;76;141;138
Ro-Cacoal;385;342;360;342;355
Ro-Cerejeiras;71;65;62;78;60
Ro-Colorado do Oeste;115;122;138;160;146
Ro-Corumbiara;507;592;547;449;403
Ro-Costa Marques;77;100;91;104;89
Ro-Espigao D Oeste;366;354;359;336;341
Ro-Guajara-Mirim;54;64;61;66;77
Ro-Jaru;271;281;273;279;294
Ro-Ji-Parana;593;549;540;691;644
Ro-Machadinho D Oeste;154;143;120;123;119
Ro-Nova Brasilandia D Oeste;57;51;54;58;59
Ro-Ouro Preto do Oeste;251;249;267;250;257
Ro-Pimenta Bueno;483;502;534;492;498
Ro-Porto Velho;612;565;595;612;625
Ro-Presidente Medici;172;170;163;145;161
Ro-Rio Crespo;274;209;222;213;214
Ro-Rolim de Moura;205;212;212;215;220
Ro-Santa Luzia D Oeste;216;214;210;209;208
Ro-Vilhena;312;328;356;329;383
Ro-Sao Miguel do Guapore;137;141;142;136;137
Ro-Nova Mamore;153;138;122;94;85
Ro-Alvorada D Oeste;118;115;110;119;106
Ro-Alto Alegre dos Parecis;122;111;119;130;119
Ro-Alto Paraiso;94;78;83;78;89
Ro-Buritis;186;163;143;149;144
Ro-Novo Horizonte do Oeste;42;37;41;43;40
Ro-Cacaulandia;121;117;103;89;100
Ro-Campo Novo de Rondonia;160;148;144;115;115
Ro-Candeias do Jamari;162;165;176;156;150
Ro-Castanheiras;111;98;113;100;129
Ro-Chupinguaia;683;642;689;757;755
Ro-Cujubim;72;64;65;63;63
Ro-Governador Jorge Teixeira;39;36;36;38;21
Ro-Itapua do Oeste;50;39;32;29;43
Ro-Ministro Andreazza;31;28;37;29;27
Ro-Mirante da Serra;31;32;43;45;40
Ro-Monte Negro;111;113;136;119;116
Ro-Nova Uniao;14;11;19;21;21
Ro-Parecis;269;254;320;261;304
Ro-Pimenteiras do Oeste;201;222;193;265;222
Ro-Primavera de Rondonia;53;54;60;64;60
Ro-Sao Felipe D Oeste;113;111;87;78;72
Ro-Sao Francisco do Guapore;235;225;221;202;161
Ro-Seringueiras;80;73;78;85;86
Ro-Teixeiropolis;23;18;12;9;13
Ro-Theobroma;156;141;169;178;177
Ro-Urupa;37;46;35;35;26
Ro-Vale do Anari;46;30;20;37;24
Ro-Vale do Paraiso;57;48;46;43;41
Ro-Ignorado;0;0;0;0;0
Ac-Acrelandia;90;104;87;96;118
Ac-Assis Brasil;4;3;4;3;3
Ac-Brasileia;55;55;60;78;80
Ac-Bujari;295;281;257;333;336
Ac-Capixaba;137;120;123;109;126
Ac-Cruzeiro do Sul;40;52;46;79;77
Ac-Epitaciolandia;13;10;13;16;14
Ac-Feijo;36;29;39;35;49
Ac-Jordao;0;0;0;0;0
Ac-Mancio Lima;1;5;2;0;2
Ac-Manoel Urbano;5;1;1;4;3
Ac-Marechal Thaumaturgo;0;1;1;2;1
Ac-Placido de Castro;127;108;124;139;108
Ac-Porto Walter;1;0;0;0;2
Ac-Rio Branco;954;932;1004;1007;1172
Ac-Rodrigues Alves;1;2;2;4;2
Ac-Santa Rosa do Purus;0;0;0;0;0
Ac-Senador Guiomard;362;395;428;382;366
Ac-Sena Madureira;226;268;229;268;274
Ac-Tarauaca;133;116;117;128;133
Ac-Xapuri;156;144;182;183;162
Ac-Porto Acre;220;213;188;261;258
Ac-Ignorado;0;0;0;0;0
Am-Alvaraes;0;0;0;0;0
Am-Amatura;0;0;0;0;0
Am-Anama;0;0;0;0;0
Am-Anori;0;0;0;0;0
Am-Apui;3;4;6;12;8
Am-Atalaia do Norte;0;0;0;0;0
Am-Autazes;11;9;9;11;6
Am-Barcelos;0;0;0;0;0
Am-Barreirinha;0;0;0;0;0
Am-Benjamin Constant;2;0;0;0;0
Am-Beruri;0;0;0;0;0
Am-Boa Vista do Ramos;0;0;0;0;0
Am-Boca do Acre;443;381;370;448;453
Am-Borba;0;0;0;0;0
Am-Caapiranga;0;0;0;0;0
Am-Canutama;15;14;18;15;16
Am-Carauari;0;0;0;0;0
Am-Careiro;2;3;3;7;29
Am-Careiro da Varzea;0;0;0;0;0
Am-Coari;1;1;1;1;1
Am-Codajas;0;0;0;0;0
Am-Eirunepe;0;0;0;0;0
Am-Envira;2;2;2;0;0
Am-Fonte Boa;0;0;0;0;0
Am-Guajara;21;27;7;19;26
Am-Humaita;44;51;8;7;2
Am-Ipixuna;0;1;1;1;0
Am-Iranduba;1;2;2;2;4
Am-Itacoatiara;14;13;13;20;21
Am-Itamarati;0;0;0;0;0
Am-Itapiranga;0;0;0;0;0
Am-Japura;0;0;0;0;0
Am-Jurua;0;0;0;0;0
Am-Jutai;0;0;0;0;0
Am-Labrea;207;136;100;124;44
Am-Manacapuru;13;7;11;21;16
Am-Manaquiri;0;0;0;0;0
Am-Manaus;21;47;33;46;20
Am-Manicore;26;20;35;38;32
Am-Maraa;0;0;0;0;0
Am-Maues;0;0;0;8;9
Am-Nhamunda;0;0;0;0;0
Am-Nova Olinda do Norte;0;0;0;0;0
Am-Novo Airao;0;0;0;0;0
Am-Novo Aripuana;3;3;3;1;1
Am-Parintins;0;0;0;0;0
Am-Pauini;5;0;0;0;0
Am-Presidente Figueiredo;9;12;17;20;29
Am-Rio Preto da Eva;4;6;6;5;6
Am-Santa Isabel do Rio Negro;0;0;0;0;0
Am-Santo Antonio do Ica;0;0;0;0;0
Am-Sao Gabriel da Cachoeira;0;0;0;0;0
Am-Sao Paulo de Olivenca;0;0;0;0;0
Am-Sao Sebastiao do Uatuma;0;0;0;0;0
Am-Silves;1;0;0;0;0
Am-Tabatinga;0;0;0;0;0
Am-Tapaua;0;0;0;0;0
Am-Tefe;0;0;0;0;0
Am-Tonantins;0;0;0;0;0
Am-Uarini;0;0;0;0;0
Am-Urucara;0;0;0;0;0
Am-Urucurituba;0;0;0;0;0
Am-Ignorado;0;0;0;0;0
Rr-Amajari;59;39;43;33;36
Rr-Alto Alegre;21;18;20;32;23
Rr-Boa Vista;40;33;20;39;23
Rr-Bonfim;31;16;31;26;19
Rr-Canta;18;20;32;27;26
Rr-Caracarai;31;33;35;46;37
Rr-Caroebe;15;12;16;11;12
Rr-Iracema;26;18;21;22;9
Rr-Mucajai;119;104;115;95;84
Rr-Normandia;0;0;0;0;0
Rr-Pacaraima;0;0;0;0;0
Rr-Rorainopolis;8;15;9;14;14
Rr-Sao Joao da Baliza;7;7;8;6;3
Rr-Sao Luiz;13;12;13;11;11
Rr-Uiramuta;0;0;0;0;0
Rr-Ignorado;0;0;0;0;0
Pa-Abaetetuba;76;70;96;118;100
Pa-Abel Figueiredo;33;42;44;44;47
Pa-Acara;26;26;38;41;14
Pa-Afua;0;0;0;0;0
Pa-Agua Azul do Norte;691;649;686;660;723
Pa-Alenquer;2;1;0;9;2
Pa-Almeirim;3;2;1;0;4
Pa-Altamira;372;359;398;369;337
Pa-Anajas;0;0;0;0;0
Pa-Ananindeua;10;12;8;11;15
Pa-Anapu;57;52;50;41;56
Pa-Augusto Correa;1;1;6;1;1
Pa-Aurora do Para;147;148;168;163;159
Pa-Aveiro;0;0;0;0;2
Pa-Bagre;0;0;0;0;0
Pa-Baiao;59;38;52;114;112
Pa-Bannach;316;311;355;331;317
Pa-Barcarena;7;8;13;9;11
Pa-Belem;309;301;277;326;390
Pa-Belterra;6;10;7;11;7
Pa-Benevides;6;7;6;11;6
Pa-Bom Jesus do Tocantins;116;174;286;268;279
Pa-Bonito;0;2;3;4;3
Pa-Braganca;13;19;18;16;24
Pa-Brasil Novo;17;21;36;43;32
Pa-Brejo Grande do Araguaia;150;143;157;179;159
Pa-Breu Branco;151;150;147;171;146
Pa-Breves;34;0;0;0;0
Pa-Bujaru;24;45;24;22;29
Pa-Cachoeira do Piria;10;8;14;20;7
Pa-Cachoeira do Arari;32;32;32;26;27
Pa-Cameta;0;0;0;0;0
Pa-Canaa dos Carajas;258;217;258;238;233
Pa-Capanema;63;61;60;58;67
Pa-Capitao Poco;246;271;317;365;133
Pa-Castanhal;175;200;175;171;175
Pa-Chaves;122;163;119;201;197
Pa-Colares;0;0;1;1;2
Pa-Conceicao do Araguaia;248;210;217;237;260
Pa-Concordia do Para;23;21;22;21;13
Pa-Cumaru do Norte;1059;994;1264;1262;1234
Pa-Curionopolis;512;455;440;443;512
Pa-Curralinho;0;0;0;0;0
Pa-Curua;0;0;0;0;0
Pa-Curuca;15;21;19;10;3
Pa-Dom Eliseu;153;122;123;171;197
Pa-Eldorado do Carajas;98;90;83;96;91
Pa-Faro;0;0;0;0;0
Pa-Floresta do Araguaia;120;126;158;127;130
Pa-Garrafao do Norte;22;17;17;10;16
Pa-Goianesia do Para;270;211;220;256;243
